brand,model,top_speed_kmh,battery_capacity_kWh,battery_type,torque_nm,efficiency_wh_per_km,range_km,acceleration_0_100_s,fast_charging_power_kw_dc,fast_charge_port,towing_capacity_kg,cargo_volume_l,seats,drivetrain,segment,length_mm,width_mm,height_mm,car_body_type,source_url,energy_kwh_per_km,frontal_area_m2,drag_coefficient,drag_power_kw,drag_energy_kwh_per_km,drag_loss_percent,mass_kg,roll_force_n,rolling_resistance_kwh_per_km,rolling_resistance_loss_percent,predicted_range_km,predicted_range_adjusted_km,km_per_kwh
Abarth,500e Convertible,155,37.8,Lithium-ion,235.0,156,225,7.0,67.0,CCS,0.0,185.0,4,FWD,B - Compact,3673,1683,1518,hatchback,https://ev-database.org/car/1904/Abarth-500e-Convertible,0.156,2.1715749,0.3,6.234795123046875,0.249391804921875,159.86654161658655,1400.0,164.80800000000002,0.04578000000000001,29.34615384615385,242.3076923076923,83.7818311952039,6.410256410256411
Abarth,500e Hatchback,155,37.8,Lithium-ion,235.0,149,225,7.0,67.0,CCS,0.0,185.0,4,FWD,B - Compact,3673,1683,1518,hatchback,https://ev-database.org/car/1903/Abarth-500e-Hatchback,0.149,2.1715749,0.3,6.234795123046875,0.249391804921875,167.37705028313758,1400.0,164.80800000000002,0.04578000000000001,30.724832214765108,253.69127516778522,85.10220500522001,6.7114093959731544
Abarth,600e Scorpionissima,200,50.8,Lithium-ion,345.0,158,280,5.9,79.0,CCS,0.0,360.0,5,FWD,JB - Compact,4187,1779,1557,suv,https://ev-database.org/car/3057/Abarth-600e-Scorpionissima,0.158,2.3544175499999995,0.35,7.88637909814453,0.3154551639257812,199.6551670416337,2000.0,235.44,0.0654,41.392405063291136,321.5189873417721,94.27394112715025,6.329113924050633
Abarth,600e Turismo,200,50.8,Lithium-ion,345.0,158,280,6.2,79.0,CCS,0.0,360.0,5,FWD,JB - Compact,4187,1779,1557,suv,https://ev-database.org/car/3056/Abarth-600e-Turismo,0.158,2.3544175499999995,0.35,7.88637909814453,0.3154551639257812,199.6551670416337,2000.0,235.44,0.0654,41.392405063291136,321.5189873417721,94.27394112715025,6.329113924050633
Aiways,U5,150,60.0,Lithium-ion,310.0,156,315,7.5,78.0,CCS,1000.0,496.0,5,FWD,JC - Medium,4680,1865,1700,suv,https://ev-database.org/car/1678/Aiways-U5,0.156,2.694925,0.35,9.026946044921877,0.3610778417968751,231.46015499799682,2000.0,235.44,0.0654,41.92307692307693,384.61538461538464,103.00821026068067,6.410256410256411
Aiways,U6,160,60.0,Lithium-ion,315.0,150,350,7.0,78.0,CCS,1000.0,472.0,5,FWD,JC - Medium,4805,1880,1641,suv,https://ev-database.org/car/1766/Aiways-U6,0.15,2.622318,0.35,8.78374095703125,0.35134963828125004,234.23309218750003,2000.0,235.44,0.0654,43.6,400.0,105.86685186418231,6.666666666666667
Alfa,Romeo Junior Elettrica 54 kWh,150,50.8,Lithium-ion,260.0,128,320,9.0,85.0,CCS,0.0,400.0,5,FWD,JB - Compact,4173,1781,1532,suv,https://ev-database.org/car/2184/Alfa-Romeo-Junior-Elettrica-54-kWh,0.128,2.3192181999999995,0.35,7.768475025390623,0.31073900101562496,242.764844543457,2000.0,235.44,0.0654,51.09374999999999,396.87499999999994,100.76586000618813,7.8125
Alfa,Romeo Junior Elettrica 54 kWh Veloce,200,50.8,Lithium-ion,345.0,164,310,6.0,85.0,CCS,0.0,400.0,5,FWD,JB - Compact,4173,1781,1505,suv,https://ev-database.org/car/2185/Alfa-Romeo-Junior-Elettrica-54-kWh-Veloce,0.164,2.27834425,0.35,7.6315632592773435,0.30526253037109374,186.1356892506669,2000.0,235.44,0.0654,39.8780487804878,309.7560975609756,95.0132038703763,6.097560975609756
Alpine,A290 Electric 180 hp,160,52.0,Lithium-ion,285.0,138,310,7.4,70.0,CCS,500.0,326.0,5,FWD,B - Compact,3997,1823,1512,hatchback,https://ev-database.org/car/2268/Alpine-A290-Electric-180-hp,0.138,2.3429196,0.3,6.7267418203125,0.2690696728125,194.9780237771739,1400.0,164.80800000000002,0.04578000000000001,33.173913043478265,376.8115942028985,114.82839255915798,7.246376811594202
Alpine,A290 Electric 220 hp,170,52.0,Lithium-ion,300.0,144,305,6.4,70.0,CCS,500.0,326.0,5,FWD,B - Compact,3997,1823,1512,hatchback,https://ev-database.org/car/2269/Alpine-A290-Electric-220-hp,0.144,2.3429196,0.3,6.7267418203125,0.2690696728125,186.853939453125,1400.0,164.80800000000002,0.04578000000000001,31.791666666666675,361.11111111111114,113.3268760578343,6.944444444444445
Audi,A6 Avant e-tron,210,75.8,Lithium-ion,435.0,146,465,6.0,150.0,CCS,2100.0,502.0,5,RWD,JE - Executive,4928,1923,1455,station/estate,https://ev-database.org/car/3055/Audi-A6-Avant-e-tron,0.146,2.37827025,,,,,,,,,519.1780821917808,,6.849315068493151
Audi,A6 Avant e-tron performance,210,94.9,Lithium-ion,565.0,151,575,5.4,200.0,CCS,2100.0,502.0,5,RWD,JE - Executive,4928,1923,1455,station/estate,https://ev-database.org/car/2272/Audi-A6-Avant-e-tron-performance,0.151,2.37827025,,,,,,,,,628.4768211920531,,6.622516556291391
Audi,A6 Avant e-tron quattro,210,94.9,Lithium-ion,855.0,157,560,4.5,200.0,CCS,2100.0,502.0,5,AWD,JE - Executive,4928,1923,1455,station/estate,https://ev-database.org/car/3054/Audi-A6-Avant-e-tron-quattro,0.157,2.37827025,,,,,,,,,604.4585987261147,,6.369426751592357
Audi,A6 Sportback e-tron,210,75.8,Lithium-ion,435.0,136,495,6.0,150.0,CCS,2100.0,502.0,5,RWD,JE - Executive,4928,1923,1455,liftback sedan,https://ev-database.org/car/3053/Audi-A6-Sportback-e-tron,0.136,2.37827025,,,,,,,,,557.3529411764705,,7.352941176470588
Audi,A6 Sportback e-tron performance,210,94.9,Lithium-ion,565.0,141,610,5.4,200.0,CCS,2100.0,502.0,5,RWD,JE - Executive,4928,1923,1455,liftback sedan,https://ev-database.org/car/2270/Audi-A6-Sportback-e-tron-performance,0.141,2.37827025,,,,,,,,,673.0496453900711,,7.092198581560284
Audi,A6 Sportback e-tron quattro,210,94.9,Lithium-ion,855.0,147,590,4.7,200.0,CCS,2100.0,502.0,5,AWD,JE - Executive,4928,1923,1455,liftback sedan,https://ev-database.org/car/3052/Audi-A6-Sportback-e-tron-quattro,0.147,2.37827025,,,,,,,,,645.5782312925171,,6.802721088435375
Audi,Q4 Sportback e-tron 40,160,59.0,Lithium-ion,310.0,156,340,8.1,110.0,CCS,1000.0,520.0,5,RWD,JC - Medium,4588,1865,1614,suv,https://ev-database.org/car/3149/Audi-Q4-Sportback-e-tron-40,0.156,2.5585934999999997,0.35,8.570288774414061,0.34281155097656246,219.75099421574518,2000.0,235.44,0.0654,41.92307692307693,378.20512820512823,104.57070561189357,6.410256410256411
Audi,Q4 Sportback e-tron 45,180,77.0,Lithium-ion,545.0,162,435,6.7,120.0,CCS,1000.0,535.0,5,RWD,JC - Medium,4588,1865,1614,suv,https://ev-database.org/car/2016/Audi-Q4-Sportback-e-tron-45,0.162,2.5585934999999997,0.35,8.570288774414061,0.34281155097656246,211.61206850405088,2000.0,235.44,0.0654,40.37037037037037,475.3086419753086,135.03760116421236,6.172839506172839
Audi,Q4 Sportback e-tron 45 quattro,180,77.0,Lithium-ion,679.0,165,410,6.6,120.0,CCS,1200.0,535.0,5,AWD,JC - Medium,4588,1865,1614,suv,https://ev-database.org/car/2017/Audi-Q4-Sportback-e-tron-45-quattro,0.165,2.5585934999999997,0.35,8.570288774414061,0.34281155097656246,207.7645763494318,2000.0,235.44,0.0654,39.63636363636363,466.66666666666663,134.33085894521406,6.0606060606060606
Audi,Q4 Sportback e-tron 55 quattro,180,77.0,Lithium-ion,679.0,165,415,5.4,120.0,CCS,1200.0,535.0,5,AWD,JC - Medium,4588,1865,1614,suv,https://ev-database.org/car/2018/Audi-Q4-Sportback-e-tron-55-quattro,0.165,2.5585934999999997,0.35,8.570288774414061,0.34281155097656246,207.7645763494318,2000.0,235.44,0.0654,39.63636363636363,466.66666666666663,134.33085894521406,6.0606060606060606
